repo,number,title,author,author_type,state,created_at,updated_at,closed_at,comments_count,html_url,days_to_close
lsf,41,Manage Departments: Table Sorting (admin),bryantal,User,closed,2019-07-22 14:22:22+00:00,2019-10-28T19:59:38Z,2019-10-28 19:59:38+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/41,98.23421296296296
lsf,42,Labor Status Form Datepicker Limit,bryantal,User,closed,2019-08-06 18:19:06+00:00,2019-08-21T13:41:01Z,2019-08-21 13:41:01+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/42,14.806886574074074
lsf,43,"Supervisor Portal: Add ""term"" to Labor Student Information within the Supervisor Portal",bryantal,User,closed,2019-08-06 18:42:02+00:00,2020-01-16T15:57:19Z,2020-01-16 15:57:19+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/43,162.88561342592592
lsf,44,Supervisor Portal:  Student labor history Print button,bryantal,User,closed,2019-08-06 19:12:54+00:00,2020-01-21T21:03:45Z,2020-01-21 21:03:45+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/44,168.07697916666666
lsf,45,Create /myDepartment page which will replace the Past Forms interface,bryantal,User,closed,2019-08-06 19:58:59+00:00,2019-08-14T13:32:57Z,2019-08-14 13:32:57+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/45,7.731921296296297
lsf,46,Feature: SmartEval Rework and migration into LSF-Flask,bryantal,User,closed,2019-08-06 20:10:08+00:00,2025-09-11T14:32:16Z,2025-09-11 14:32:16+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/46,2227.7653703703704
lsf,47,"Supervisor Portal, LaborHistory page: Changing the URL",bryantal,User,closed,2019-08-08 15:20:56+00:00,2020-06-10T14:26:47Z,2020-06-10 14:26:47+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/47,306.96239583333335
lsf,48,Repopulating data when redirected to Modified Pending Form,bryantal,User,closed,2019-08-08 15:27:47+00:00,2019-10-01T17:31:25Z,2019-10-01 17:31:25+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/48,54.08585648148148
lsf,49,"Supervisor Portal, Labor History Modal: Text area for Notes",bryantal,User,closed,2019-08-08 15:35:32+00:00,2025-09-11T14:32:17Z,2025-09-11 14:32:17+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/49,2225.956076388889
lsf,50,Supervisor Portal: Labor history modal can be a little buggy,bryantal,User,closed,2019-08-08 15:55:33+00:00,2020-01-21T16:22:15Z,2020-01-21 16:22:15+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/50,166.01854166666666
lsf,51,Departmental Labor Allocations Interface,bryantal,User,closed,2019-08-14 13:43:55+00:00,2025-09-11T14:32:17Z,2025-09-11 14:32:17+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/51,2220.033587962963
lsf,52,Manage Departments (admin) Adjusting the Manage Departments Controller and UI,bryantal,User,closed,2019-08-16 19:20:43+00:00,2020-01-24T19:06:15Z,2020-01-24 19:06:15+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/52,160.9899537037037
lsf,53,Labor Status Form: Staff and student information is not being pulled correctly in laborStatusForm controller,bryantal,User,closed,2019-08-22 20:11:17+00:00,2020-01-22T19:59:18Z,2020-01-22 19:59:18+00:00,8,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/53,152.99167824074075
lsf,54,Modify LSF : Secondary position cannot be WLS 5 or 6,bryantal,User,closed,2019-09-10 20:21:50+00:00,2019-10-07T20:37:26Z,2019-10-07 20:37:26+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/54,27.010833333333334
lsf,55,Modify LSF: Save LSF fields to form,bryantal,User,closed,2019-09-10 20:53:18+00:00,2019-12-11T16:13:49Z,2019-12-11 16:13:49+00:00,5,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/55,91.80591435185185
lsf,56,Modify LSF:  Save modified fields to formHistory in the appropriate places,bryantal,User,closed,2019-09-10 20:55:48+00:00,2019-10-10T21:36:02Z,2019-10-01 17:18:15+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/56,20.84892361111111
lsf,57,Handling of all system emails,bryantal,User,closed,2019-09-11 17:54:28+00:00,2020-01-27T20:19:23Z,2020-01-27 20:19:23+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/57,138.1006365740741
lsf,58,Supervisor Portal (My Department ),bryantal,User,closed,2019-09-11 18:11:16+00:00,2020-01-24T19:01:42Z,2020-01-24 19:01:42+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/58,135.03502314814816
lsf,59,Form History: Labor Overload denied,bryantal,User,closed,2019-09-11 18:12:15+00:00,2020-01-22T19:53:40Z,2020-01-22 19:53:40+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/59,133.07042824074074
lsf,61,Modify LSF: notify user of effective date,bryantal,User,closed,2019-09-11 18:17:38+00:00,2019-10-21T16:55:40Z,2019-10-21 16:55:40+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/61,39.943078703703705
lsf,62,Supervisor portal Labor History modal can be buggy,bryantal,User,closed,2019-09-11 18:18:41+00:00,2020-01-20T18:37:27Z,2020-01-20 18:37:27+00:00,5,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/62,131.0130324074074
lsf,63,Labor Release Form needs a controller update,bryantal,User,closed,2019-09-11 18:34:39+00:00,2019-10-22T20:10:07Z,2019-10-22 20:10:07+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/63,41.066296296296294
lsf,64,Labor Release Form: date picker should be read only (?),bryantal,User,closed,2019-09-11 18:36:23+00:00,2020-01-22T20:03:34Z,2020-01-22 20:03:34+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/64,133.0605439814815
lsf,65,Labor Release Form: security risk,bryantal,User,closed,2019-09-11 18:37:12+00:00,2019-11-05T21:26:03Z,2019-11-05 21:26:03+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/65,55.11725694444444
lsf,66,Manage Department : styling changes,bryantal,User,closed,2019-09-11 18:43:24+00:00,2019-11-19T16:39:54Z,2019-11-19 16:39:54+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/66,68.91423611111111
lsf,67,Student Table in the New Labor Status Form Page Has Too Many columns,bryantal,User,closed,2019-09-23 20:21:11+00:00,2020-01-09T15:49:23Z,2020-01-09 15:49:23+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/67,107.81125
lsf,68,Refactoring the New Labor Status Form JavaScript Code,bryantal,User,closed,2019-09-26 18:26:58+00:00,2020-01-27T13:53:54Z,2020-01-27 13:53:54+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/68,122.81037037037036
lsf,69,Minor button changes for Student Labor History Modals,bryantal,User,closed,2019-10-01 17:35:11+00:00,2019-10-21T18:00:34Z,2019-10-21 18:00:34+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/69,20.017627314814813
lsf,70,Term management: scoot table over,bryantal,User,closed,2019-10-21 16:48:55+00:00,2019-11-19T16:40:41Z,2019-11-19 16:40:41+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/70,28.994282407407407
lsf,71,Office Visit Tracker (webapp?),bryantal,User,closed,2019-10-21 16:50:52+00:00,2025-09-11T14:32:18Z,2025-09-11 14:32:18+00:00,6,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/71,2151.903773148148
lsf,72,Labor Overload Forms History Type,bryantal,User,closed,2019-10-25 18:01:51+00:00,2020-01-22T19:59:18Z,2020-01-22 19:59:18+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/72,89.0815625
lsf,73,Refactoring HTML in allPendingForms,bryantal,User,closed,2019-10-31 21:03:43+00:00,2020-01-22T21:42:21Z,2020-01-22 21:42:21+00:00,4,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/73,83.0268287037037
lsf,74,Fix checkbox in pendingForms interface,bryantal,User,closed,2019-11-07 17:05:33+00:00,2020-01-24T18:59:36Z,2020-01-24 18:59:36+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/74,78.07920138888889
lsf,75,Student Overload Application: Handling emails on submit,bryantal,User,closed,2019-12-11 16:45:07+00:00,2020-01-22T20:04:32Z,2020-01-22 20:04:32+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/75,42.1384837962963
lsf,76,Labor Status Form: Redirecting to Student Overload Application,bryantal,User,closed,2019-12-11 17:24:48+00:00,2020-01-21T17:50:02Z,2020-01-21 17:50:02+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/76,41.01752314814815
lsf,78,Supervisor Portal: Student labor history PDF redesign,bryantal,User,closed,2019-12-17 21:18:57+00:00,2020-01-21T21:03:27Z,2020-01-21 21:03:27+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/78,34.98923611111111
lsf,79,Students pulled from Tracy create issues if their information is different,bryantal,User,closed,2020-01-16 15:06:07+00:00,2020-07-02T20:08:28Z,2020-07-02 20:08:28+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/79,168.20996527777777
