repo,number,title,author,author_type,state,created_at,updated_at,closed_at,comments_count,html_url,days_to_close
bcsr,37,Download all button does not download,bryantal,User,closed,2016-09-07 21:30:56+00:00,2016-10-20T19:11:03Z,2016-10-20 19:11:03+00:00,4,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/37,42.90285879629629
bcsr,38,Sorting of courses,bryantal,User,closed,2016-09-12 14:51:33+00:00,2019-07-08T19:16:40Z,2019-07-08 19:16:40+00:00,2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/38,1029.1841087962962
bcsr,39,Add WEL,bryantal,User,closed,2016-09-20 14:03:07+00:00,2016-10-20T19:34:32Z,2016-10-20 19:34:32+00:00,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/39,30.230150462962964
bcsr,40,Division Chair View,bryantal,User,closed,2016-09-20 14:05:07+00:00,2016-09-29T18:55:41Z,2016-09-29 18:55:41+00:00,2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/40,9.201782407407407
bcsr,41,Error in file upload,bryantal,User,closed,2016-09-26 20:30:18+00:00,2016-10-20T19:11:18Z,2016-10-20 19:11:18+00:00,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/41,23.945138888888888
bcsr,43,Connie Lamb,bryantal,User,closed,2016-09-30 14:15:25+00:00,2023-05-18T13:04:25Z,2023-05-18 13:04:24+00:00,3,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/43,2420.95068287037
bcsr,44,Military Time,bryantal,User,closed,2016-10-04 15:23:33+00:00,2017-06-14T12:15:29Z,2017-06-14 12:15:29+00:00,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/44,252.86939814814815
bcsr,45,Modification to the upload options,bryantal,User,open,2016-10-13 18:36:35+00:00,2019-06-18T21:55:24Z,,3,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/45,
bcsr,46,Admin interface to view only missing syllabi,bryantal,User,closed,2016-10-21 16:08:40+00:00,2017-02-09T19:33:56Z,2017-02-09 19:33:56+00:00,6,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/46,111.1425462962963
bcsr,47,NUR 341 Linda Wray,bryantal,User,closed,2016-10-25 19:39:58+00:00,2016-10-25T19:40:50Z,2016-10-25 19:40:50+00:00,2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/47,0.0006018518518518519
bcsr,48,Update Chairs,bryantal,User,closed,2016-10-26 16:52:22+00:00,2017-06-13T19:32:28Z,2017-06-13 19:32:28+00:00,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/48,230.11118055555556
bcsr,49,Manage Admin,bryantal,User,closed,2017-01-24 14:43:02+00:00,2017-02-15T19:45:13Z,2017-02-15 19:45:13+00:00,11,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/49,22.209849537037037
bcsr,50,Manage Courses,bryantal,User,closed,2017-01-24 14:43:36+00:00,2017-06-14T12:23:04Z,2017-06-14 12:23:04+00:00,4,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/50,140.9024074074074
bcsr,51,Absolute Paths,bryantal,User,closed,2017-02-02 16:22:34+00:00,2017-06-22T14:43:22Z,2017-06-22 14:43:22+00:00,2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/51,139.9311111111111
bcsr,52,Upcoming deadlines field completion alert,bryantal,User,closed,2017-06-22 00:15:13+00:00,2017-07-17T16:07:22Z,2017-07-17 16:07:22+00:00,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/52,25.661215277777778
bcsr,53,"Integration of the Box API to improve direct access to stored syllabi, particularly archival data",bryantal,User,open,2017-06-22 17:43:23+00:00,2019-06-21T15:33:50Z,,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/53,
bcsr,54,Increase File Size,bryantal,User,closed,2018-01-23 13:42:00+00:00,2019-06-13T12:16:53Z,2019-06-13 12:16:54+00:00,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/54,505.94090277777775
bcsr,55,File Management,bryantal,User,closed,2018-03-22 15:16:36+00:00,2019-06-19T19:19:53Z,2019-06-19 19:19:53+00:00,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/55,454.16894675925926
bcsr,56,Refactor summer term,bryantal,User,closed,2018-06-12 19:17:31+00:00,2019-06-19T19:20:38Z,2019-06-19 19:20:38+00:00,4,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/56,372.00216435185183
bcsr,57,Improve clarity about file uploads (some can't discern that it went through),bryantal,User,open,2018-08-23 14:34:03+00:00,2019-06-18T18:42:59Z,,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/57,
bcsr,58,Allow administrators to edit syllabi after a term has been locked,bryantal,User,closed,2018-09-28 14:12:17+00:00,2019-07-08T19:14:01Z,2019-07-08 19:14:02+00:00,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/58,283.20954861111113
bcsr,59,New Feature: Syllabi Lookup for Students,bryantal,User,open,2019-04-15 16:47:28+00:00,2019-06-18T20:33:43Z,,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/59,
bcsr,60,Some prefixes are not tied to the right Programs on import of data from spreadsheet,bryantal,User,closed,2019-06-13 12:25:19+00:00,2023-01-11T16:14:48Z,2023-01-11 16:14:47+00:00,2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/60,1308.1593518518519
bcsr,61,mySQL Migration,bryantal,User,open,2019-06-19 13:50:47+00:00,2019-06-20T13:45:29Z,,2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/61,
bcsr,62,BCSR needs a footer,bryantal,User,closed,2019-06-19 14:12:03+00:00,2019-07-08T19:15:20Z,2019-07-08 19:15:20+00:00,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/62,19.210613425925924
bcsr,63,Add placeholder to datepicker,bryantal,User,closed,2019-06-19 19:27:12+00:00,2019-06-20T15:25:54Z,2019-06-20 15:25:54+00:00,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/63,0.8324305555555556
bcsr,64,Spacing between submit buttons and mngmt bars,bryantal,User,closed,2019-06-19 19:31:07+00:00,2019-06-20T15:27:58Z,2019-06-20 15:27:56+00:00,2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/64,0.8311226851851852
bcsr,65,Centering  and spacing across application,bryantal,User,open,2019-06-19 19:42:17+00:00,2019-06-19T19:42:17Z,,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/65,
bcsr,66,Rework User Management,bryantal,User,open,2019-06-19 19:46:34+00:00,2019-06-20T14:10:08Z,,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/66,
bcsr,67,"Implementation of ""Import Courses"" for new terms",bryantal,User,open,2019-06-19 20:49:05+00:00,2025-05-21T13:05:33Z,,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/67,
bcsr,68,Refactoring  of /courses page,bryantal,User,closed,2019-06-19 21:00:25+00:00,2021-05-19T13:32:46Z,2021-05-19 13:32:46+00:00,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/68,699.6891319444444
bcsr,69,Create Sidebar to Hold Divisions,bryantal,User,open,2019-06-20 19:05:05+00:00,2021-03-11T20:05:02Z,,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/69,
