repo,id,pr_number,author,author_type,state,submitted_at,html_url
cas,754025504,394,bryantal,User,APPROVED,2021-09-14T14:26:22Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/394#pullrequestreview-754025504
cas,754027573,395,bryantal,User,APPROVED,2021-09-14T14:27:51Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/395#pullrequestreview-754027573
cas,754123610,396,bryantal,User,COMMENTED,2021-09-14T15:41:21Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/396#pullrequestreview-754123610
cas,883572851,396,bryantal,User,CHANGES_REQUESTED,2022-02-15T19:50:43Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/396#pullrequestreview-883572851
cas,885181012,396,bryantal,User,APPROVED,2022-02-16T21:46:18Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/396#pullrequestreview-885181012
cas,755452720,397,bryantal,User,APPROVED,2021-09-15T17:52:26Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/397#pullrequestreview-755452720
cas,755454195,398,bryantal,User,APPROVED,2021-09-15T17:54:02Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/398#pullrequestreview-755454195
cas,875064475,420,bryantal,User,APPROVED,2022-02-07T18:08:30Z,https://github.com/BCStudentSoftwareDevTeam/cas/pull/420#pullrequestreview-875064475
