repo,number,title,author,author_type,state,created_at,updated_at,closed_at,comments_count,html_url,days_to_close
cas,175,No acknowledgement Page,bryantal,User,closed,2017-09-26 16:18:44+00:00,2017-10-05T14:53:41Z,2017-10-05 14:53:41+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/175,8.9409375
cas,176,No customer support contact information,bryantal,User,closed,2017-09-26 16:39:55+00:00,2017-10-05T14:52:19Z,2017-10-05 14:52:19+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/176,8.925277777777778
cas,177,"Under program management, nothing indicates there is a dropdown under each division.",bryantal,User,closed,2017-09-26 16:49:57+00:00,2017-11-17T19:45:25Z,2017-11-17 19:45:25+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/177,52.12185185185185
cas,178,Notes should be in the spreadsheet when user downloads the spreadsheet,bryantal,User,closed,2017-09-27 12:51:10+00:00,2017-10-26T17:44:33Z,2017-09-27 21:51:19+00:00,6,https://github.com/BCStudentSoftwareDevTeam/cas/issues/178,0.3751041666666667
cas,179,Add info to lock,bryantal,User,closed,2017-10-02 12:29:48+00:00,2017-10-12T12:51:00Z,2017-10-12 12:50:41+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/179,10.014502314814814
cas,180,Move footer to the bottom of page,bryantal,User,closed,2017-10-02 12:45:11+00:00,2017-10-10T12:30:19Z,2017-10-10 12:30:19+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/180,7.989675925925926
cas,181,Change Color on Change Tracker,bryantal,User,closed,2017-10-04 16:14:38+00:00,2017-10-09T19:40:18Z,2017-10-09 19:40:18+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/181,5.142824074074074
cas,182,Create Course cannot be access using only keyboard,bryantal,User,closed,2017-10-04 16:16:36+00:00,2017-10-26T17:34:11Z,2017-10-05 18:16:25+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/182,1.0832060185185186
cas,183,UI: Crosslisted,bryantal,User,closed,2017-10-05 15:25:06+00:00,2017-10-26T17:34:11Z,2017-10-05 17:37:51+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/183,0.0921875
cas,184,Back Button On Contributors Page,bryantal,User,closed,2017-10-06 13:47:46+00:00,2017-10-17T17:55:02Z,2017-10-17 17:55:02+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/184,11.171712962962962
cas,185,Create A Deadline: Show date format,bryantal,User,closed,2017-10-06 13:53:30+00:00,2017-10-17T17:55:25Z,2017-10-17 17:55:25+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/185,11.167997685185185
cas,186,Issue Tracker: Notes,bryantal,User,closed,2017-10-06 15:02:41+00:00,2017-10-26T17:34:11Z,2017-10-06 15:09:33+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/186,0.004768518518518518
cas,187,Deactivate Courses,bryantal,User,closed,2017-10-09 14:31:20+00:00,2017-10-17T14:16:26Z,2017-10-17 14:16:26+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/187,7.989652777777778
cas,189,The remove button activates confirmation modal even when no admin was selected.,bryantal,User,closed,2017-10-10 13:59:58+00:00,2017-10-17T16:40:19Z,2017-10-17 16:40:19+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/189,7.111354166666667
cas,190,Missing Variable declaration,bryantal,User,closed,2017-10-10 15:10:03+00:00,2017-10-17T18:47:18Z,2017-10-17 18:47:18+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/190,7.150868055555556
cas,191,Courses Chart,bryantal,User,closed,2017-10-13 17:06:00+00:00,2017-11-17T19:39:56Z,2017-11-17 19:39:56+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/191,35.10689814814815
cas,192,Course Creation: Text-input formatting error,bryantal,User,closed,2017-10-17 16:35:16+00:00,2019-01-29T15:55:25Z,2019-01-29 15:55:25+00:00,5,https://github.com/BCStudentSoftwareDevTeam/cas/issues/192,468.9723263888889
cas,193,New Logout Link,bryantal,User,closed,2017-11-08 13:39:16+00:00,2017-11-21T17:12:55Z,2017-11-08 13:46:38+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/193,0.005115740740740741
cas,194,Two Term Selections,bryantal,User,closed,2017-11-20 15:27:52+00:00,2017-11-27T13:53:29Z,2017-11-27 13:53:29+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/194,6.934456018518518
cas,195,Broken Links,bryantal,User,closed,2017-11-20 15:32:17+00:00,2017-11-27T13:52:58Z,2017-11-27 13:52:59+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/195,6.931041666666666
