repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
urcpp,177,Setup updates,sreynit02,User,closed,False,2022-02-15 20:55:57+00:00,2022-03-22T14:57:28Z,2022-03-22 14:57:27+00:00,2022-03-22 14:57:27+00:00,True,,,55,26,5,12,0,6,https://github.com/BCStudentSoftwareDevTeam/urcpp/pull/177,834.025,34.751041666666666,False,True
urcpp,178,Closing Time was Set Before Midnight,sreynit02,User,closed,False,2022-02-18 19:04:47+00:00,2022-03-22T14:58:58Z,2022-03-22 14:58:55+00:00,2022-03-22 14:58:55+00:00,True,,,1,1,1,3,0,0,https://github.com/BCStudentSoftwareDevTeam/urcpp/pull/178,763.9022222222222,31.82925925925926,False,True
urcpp,181,Stipend ,Lyisus,User,closed,False,2022-03-15 19:36:24+00:00,2022-03-22T14:57:29Z,2022-03-22 14:57:26+00:00,2022-03-22 14:57:26+00:00,True,,,186,126,13,18,0,0,https://github.com/BCStudentSoftwareDevTeam/urcpp/pull/181,163.35055555555556,6.806273148148148,False,True
urcpp,183,Setup Instructions + Closing time + Stipend Field,sreynit02,User,open,False,2022-04-06 19:30:50+00:00,2024-01-16T19:30:17Z,,,False,,,80,76,2,4,1,0,https://github.com/BCStudentSoftwareDevTeam/urcpp/pull/183,,,False,False
urcpp,192,Improving the Devcontainer,hoerstl,User,closed,False,2025-02-04 16:52:48+00:00,2025-02-13T16:19:13Z,2025-02-13 16:18:55+00:00,2025-02-13 16:18:55+00:00,True,,,67,29,7,3,3,0,https://github.com/BCStudentSoftwareDevTeam/urcpp/pull/192,215.43527777777777,8.976469907407408,False,True
urcpp,194,Fixing presentation of proposal due time,sheggen,User,open,False,2025-02-13 19:12:42+00:00,2025-02-21T18:40:24Z,,,False,,,4,4,2,1,1,0,https://github.com/BCStudentSoftwareDevTeam/urcpp/pull/194,,,False,False
urcpp,195,Fix devcontainer,hoerstl,User,closed,False,2025-03-14 14:32:51+00:00,2025-10-02T17:39:22Z,2025-10-02 17:39:05+00:00,2025-10-02 17:39:05+00:00,True,,,9,10,5,4,0,0,https://github.com/BCStudentSoftwareDevTeam/urcpp/pull/195,4851.103888888889,202.1293287037037,False,True
