repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
celts,718,Only show upcoming recurring event 575,tylerpar99,User,closed,False,2022-08-31 12:48:33+00:00,2022-09-02T13:04:24Z,2022-09-02 13:04:22+00:00,2022-09-02 13:04:22+00:00,True,,,51,5,2,3,1,2,https://github.com/BCStudentSoftwareDevTeam/celts/pull/718,48.26361111111111,2.0109837962962964,False,True
celts,719,Increase readability of the Admin Logs,AndersonStettner,User,closed,False,2022-08-31 15:30:45+00:00,2023-02-14T15:23:31Z,2022-09-12 14:14:31+00:00,2022-09-12 14:14:31+00:00,True,tylerpar99,User,35,16,3,12,1,5,https://github.com/BCStudentSoftwareDevTeam/celts/pull/719,286.7294444444444,11.947060185185185,False,True
celts,720,Issue#701 update program manager notification,martinj2-dot,User,closed,False,2022-08-31 17:44:37+00:00,2022-09-16T13:18:39Z,2022-09-16 13:18:35+00:00,2022-09-16 13:18:35+00:00,True,tylerpar99,User,58,4,2,24,2,11,https://github.com/BCStudentSoftwareDevTeam/celts/pull/720,379.5661111111111,15.81525462962963,False,True
celts,725,changed email to invite,thawpt,User,closed,False,2022-09-02 15:00:31+00:00,2022-09-02T18:41:39Z,2022-09-02 18:41:34+00:00,2022-09-02 18:41:34+00:00,True,martinj2-dot,User,1,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/725,3.6841666666666666,0.15350694444444443,False,True
celts,727,Fixed the name,AndersonStettner,User,closed,False,2022-09-02 20:46:44+00:00,2023-02-14T15:23:34Z,2022-09-08 20:53:39+00:00,2022-09-08 20:53:39+00:00,True,Lyisus,User,1,2,2,3,2,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/727,144.11527777777778,6.004803240740741,False,True
celts,730,formatting with black auto-formatter ,AndersonStettner,User,closed,True,2022-09-07 16:04:27+00:00,2023-02-14T15:23:31Z,2022-09-12 18:15:34+00:00,,False,,,3339,2061,69,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/730,,,True,False
celts,737,Program on event page 680,thawpt,User,closed,False,2022-09-08 20:53:05+00:00,2022-11-18T20:26:25Z,2022-11-18 20:24:01+00:00,,False,,,35,15,3,8,2,9,https://github.com/BCStudentSoftwareDevTeam/celts/pull/737,,,True,False
celts,738,Added rollbacks to tests that did not have them causing them to leave admin logs in the database after the tests had all run,AndersonStettner,User,closed,False,2022-09-09 14:19:43+00:00,2022-09-12T13:10:04Z,2022-09-12 13:09:56+00:00,2022-09-12 13:09:56+00:00,True,tylerpar99,User,91,78,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/738,70.83694444444444,2.9515393518518516,False,True
celts,739,Add banned users indicators,zachneill,User,closed,False,2022-09-09 18:57:44+00:00,2022-11-29T21:53:32Z,2022-10-07 18:29:56+00:00,2022-10-07 18:29:56+00:00,True,martinj2-dot,User,166,58,9,22,0,27,https://github.com/BCStudentSoftwareDevTeam/celts/pull/739,671.5366666666666,27.980694444444442,False,True
celts,740,Implement New Logo and Name,zachneill,User,closed,False,2022-09-09 20:16:05+00:00,2022-09-12T18:15:24Z,2022-09-12 18:15:21+00:00,2022-09-12 18:15:21+00:00,True,,,2,2,6,2,1,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/740,69.98777777777778,2.9161574074074075,False,True
celts,741,Added All Volunteer Trainings to Training and Education tab in Events List,AndersonStettner,User,closed,False,2022-09-12 18:13:09+00:00,2022-09-12T18:16:20Z,2022-09-12 18:16:17+00:00,2022-09-12 18:16:17+00:00,True,,,6,5,1,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/741,0.052222222222222225,0.002175925925925926,False,True
celts,743,Make event validation more specific,AndersonStettner,User,closed,False,2022-09-13 21:08:49+00:00,2022-09-14T15:31:22Z,2022-09-14 15:31:19+00:00,2022-09-14 15:31:19+00:00,True,,,7,4,2,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/743,18.375,0.765625,False,True
celts,744,Removed duplicate entry in event participant when volunteers are added through kiosk,AndersonStettner,User,closed,False,2022-09-14 16:45:55+00:00,2022-09-14T16:52:54Z,2022-09-14 16:52:50+00:00,2022-09-14 16:52:49+00:00,True,,,14,2,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/744,0.115,0.004791666666666667,False,True
celts,750,Delete Recurring Events,sreynit02,User,closed,False,2022-09-14 21:01:20+00:00,2022-10-05T16:29:02Z,2022-10-05 16:29:00+00:00,2022-10-05 16:29:00+00:00,True,AndersonStettner,User,109,19,4,11,1,10,https://github.com/BCStudentSoftwareDevTeam/celts/pull/750,499.4611111111111,20.81087962962963,False,True
celts,751,"Add new background check type, disable save after press, and allow deletion of BG check",AndersonStettner,User,closed,False,2022-09-15 15:37:16+00:00,2022-09-21T14:19:24Z,2022-09-21 14:09:42+00:00,2022-09-21 14:09:42+00:00,True,,,119,127,13,16,1,3,https://github.com/BCStudentSoftwareDevTeam/celts/pull/751,142.54055555555556,5.939189814814815,False,True
